Date,Open,High,Low,Close,Adjusted_close,Volume
2023-03-15,31.1,31.2,30.075,30.22,30.22,41034
2023-03-16,30.425,30.52,29.51,30.35,30.35,40944
2023-03-17,30.5,30.61,29.6,29.64,29.64,25468
2023-03-20,29.07,29.95,28.77,29.95,29.95,44778
2023-03-21,30.025,30.48,30.0,30.465,30.465,25298
2023-03-22,30.16,30.63,30.09,30.165,30.165,15218
2023-03-23,30.15,30.265,29.645,30.11,30.11,16378
2023-03-24,29.985,29.985,29.31,29.5,29.5,13110
2023-03-27,29.95,29.955,29.5,29.85,29.85,11425
2023-03-28,30.125,30.305,29.85,29.98,29.98,16777
2023-03-29,30.0,30.255,29.8,30.1,30.1,5992
2023-03-30,30.44,31.165,30.4,31.05,31.05,12348
2023-03-31,31.32,31.32,30.93,31.05,31.05,12283
2023-04-03,31.31,31.73,31.25,31.35,31.35,14290
2023-04-04,31.49,31.72,31.3,31.3,31.3,19210
2023-04-05,31.25,31.25,30.98,30.99,30.99,8410
2023-04-06,31.15,31.15,30.9,30.97,30.97,10650
2023-04-11,31.31,31.605,31.085,31.49,31.49,37846
2023-04-12,31.555,32.12,31.33,32.07,32.07,23692
2023-04-13,32.02,32.59,32.0,32.5,32.5,12337
2023-04-14,32.705,32.9,32.515,32.785,32.785,24370
2023-04-17,32.9,33.005,32.765,32.95,32.95,19025
2023-04-18,32.815,33.67,32.815,33.4,33.4,36348
2023-04-19,33.375,33.56,33.0,33.47,33.47,14323
2023-04-20,33.48,33.99,33.48,33.645,33.645,39152
2023-04-21,33.48,33.6,33.195,33.54,33.54,13855
2023-04-24,33.455,33.885,33.235,33.81,33.81,13070
2023-04-25,33.52,33.7,33.29,33.36,33.36,7921
2023-04-26,33.24,33.575,32.96,33.32,33.32,18677
2023-04-27,33.41,34.455,33.385,34.38,34.38,20431
2023-04-28,34.355,34.38,33.83,33.955,33.955,24700
2023-05-01,33.955,33.955,33.955,33.955,33.955,0
2023-05-02,34.125,34.445,33.835,33.92,33.92,5864
2023-05-03,33.92,33.92,33.92,33.92,33.92,0
2023-05-04,33.92,34.0,33.21,33.245,33.245,22805
2023-05-05,33.315,33.77,33.285,33.685,33.685,13884
2023-05-08,33.71,34.15,33.71,33.9,33.9,8428
2023-05-09,33.825,33.88,33.575,33.84,33.84,7942
2023-05-10,33.885,34.5,33.74,34.08,34.08,11698
2023-05-11,34.135,34.33,33.79,33.79,33.79,11959
2023-05-12,33.795,34.405,33.79,34.285,34.285,9301
2023-05-15,34.58,34.58,34.085,34.245,34.245,27705
2023-05-16,34.225,34.6,34.15,34.37,34.37,8711
2023-05-17,34.11,34.345,34.045,34.155,34.155,15134
