Date,Open,High,Low,Close,Adjusted_close,Volume
2022-11-18,42.9,43.0,41.7,43.0,43.0,1577
2022-11-21,43.0,44.0,42.9,44.0,44.0,89
2022-11-22,44.45,44.45,42.2,44.15,44.15,302
2022-11-23,44.15,44.15,43.0,43.75,43.75,635
2022-11-24,44.0,44.0,42.6,43.5,43.5,1143
2022-11-25,43.5,43.5,42.2,43.0,43.0,1071
2022-11-28,43.0,43.0,42.15,42.7,42.7,963
2022-11-29,42.7,42.7,40.2,42.0,42.0,5545
2022-11-30,42.0,42.0,40.7,41.0,41.0,3694
2022-12-01,41.9,42.0,40.5,41.4,41.4,1942
2022-12-02,41.95,41.95,40.85,41.0,41.0,1545
2022-12-05,40.95,41.3,40.2,40.6,40.6,4171
2022-12-06,40.95,40.95,40.2,40.5,40.5,546
2022-12-07,40.2,40.7,40.0,40.5,40.5,3814
2022-12-08,41.85,41.85,39.5,40.9,40.9,3137
2022-12-09,41.0,41.0,39.5,40.0,40.0,958
2022-12-12,40.0,40.55,39.25,40.0,40.0,869
2022-12-13,40.0,40.5,39.65,40.5,40.5,1373
2022-12-14,40.0,40.5,38.5,39.85,39.85,4071
2022-12-15,40.55,40.55,39.1,40.0,40.0,1661
2022-12-16,40.0,40.65,39.5,39.7,39.7,1289
2022-12-19,39.8,39.8,39.0,39.6,39.6,1476
2022-12-20,39.05,39.75,39.05,39.2,39.2,1778
2022-12-21,39.05,39.75,38.65,39.4,39.4,2063
2022-12-22,39.7,39.7,39.0,39.45,39.45,1260
2022-12-23,39.6,39.6,38.8,39.3,39.3,1464
2022-12-27,39.2,39.4,38.0,38.7,38.7,3649
2022-12-28,38.9,39.45,38.7,39.0,39.0,6162
2022-12-29,39.6,39.6,39.0,39.0,39.0,486
2022-12-30,39.0,39.2,38.75,39.2,39.2,1408
2023-01-02,39.25,39.65,38.9,39.45,39.45,1453
2023-01-03,39.25,40.75,38.9,40.75,40.75,2974
2023-01-04,40.75,41.7,40.55,41.45,41.45,1397
2023-01-05,41.4,41.4,40.2,41.0,41.0,1915
2023-01-09,41.0,41.3,39.0,40.95,40.95,2168
2023-01-10,40.9,40.9,38.7,39.45,39.45,5517
2023-01-11,40.4,40.4,39.5,39.5,39.5,1023
2023-01-12,39.5,40.0,39.0,39.8,39.8,2822
2023-01-13,39.95,40.0,39.2,39.55,39.55,2225
2023-01-16,40.0,40.05,39.5,39.5,39.5,2582
2023-01-17,40.45,40.45,39.3,39.6,39.6,347
2023-01-18,39.7,39.8,39.0,39.5,39.5,1538
2023-01-19,39.5,39.65,39.1,39.5,39.5,5602
2023-01-20,39.6,39.6,38.8,38.85,38.85,2812
2023-01-23,39.05,39.5,39.0,39.25,39.25,393
2023-01-24,39.4,39.45,38.8,39.15,39.15,2086
2023-01-25,39.45,39.5,38.7,39.5,39.5,2199
2023-01-26,38.75,39.5,38.7,39.5,39.5,1545
2023-01-27,39.45,40.35,39.0,40.3,40.3,2923
2023-01-30,39.2,39.8,38.5,39.0,39.0,4560
2023-01-31,39.75,39.85,38.75,39.75,39.75,1672
2023-02-01,38.0,39.9,36.5,37.9,37.9,18906
